Pen Excluded,Class1 Count,Class2 Count,Test Count
1,2688,2528,748
2,2726,2566,684
3,2462,2222,1322
4,2662,2426,956
5,2710,2474,892
6,2698,2552,780
7,2626,2348,1114
8,2722,2570,696
9,2752,2618,546
10,2684,2478,908
11,2718,2586,680
12,2740,2584,660
13,2638,2442,1004
14,2702,2550,694
